,DBN,School Name,Grade,Year,Category,Number Tested,Mean Scale Score,# Level 1,# Level 2,# Level 3,# Level 4
588,02M126,P.S. 126 JACOB AUGUST RIIS,6,2015,All Students,107,330.0,12.0,19.0,25.0,51.0
591,02M126,P.S. 126 JACOB AUGUST RIIS,7,2015,All Students,104,340.0,9.0,14.0,30.0,51.0
611,02M131,M.S. 131,6,2015,All Students,146,312.0,33.0,42.0,32.0,39.0
614,02M131,M.S. 131,7,2015,All Students,116,315.0,28.0,32.0,34.0,22.0
617,02M131,M.S. 131,8,2015,All Students,130,328.0,19.0,29.0,35.0,47.0
657,02M167,J.H.S. 167 ROBERT F. WAGNER,6,2015,All Students,417,337.0,35.0,77.0,98.0,207.0
660,02M167,J.H.S. 167 ROBERT F. WAGNER,7,2015,All Students,456,330.0,59.0,100.0,138.0,159.0
663,02M167,J.H.S. 167 ROBERT F. WAGNER,8,2015,All Students,298,318.0,37.0,123.0,88.0,50.0
667,02M177,YORKVILLE EAST MIDDLE SCHOOL,6,2015,All Students,54,337.0,3.0,11.0,14.0,26.0
716,02M217,P.S./I.S. 217 ROOSEVELT ISLAND,6,2015,All Students,24,300.0,6.0,15.0,1.0,2.0
719,02M217,P.S./I.S. 217 ROOSEVELT ISLAND,7,2015,All Students,17,295.0,9.0,2.0,6.0,0.0
722,02M217,P.S./I.S. 217 ROOSEVELT ISLAND,8,2015,All Students,25,289.0,11.0,10.0,3.0,1.0
737,02M225,ELLA BAKER SCHOOL,6,2015,All Students,13,306.0,0.0,10.0,3.0,0.0
740,02M225,ELLA BAKER SCHOOL,7,2015,All Students,19,327.0,1.0,6.0,9.0,3.0
743,02M225,ELLA BAKER SCHOOL,8,2015,All Students,8,322.0,1.0,2.0,2.0,3.0
761,02M255,M.S. 255 SALK SCHOOL OF SCIENCE,6,2015,All Students,130,349.0,2.0,8.0,33.0,87.0
764,02M255,M.S. 255 SALK SCHOOL OF SCIENCE,7,2015,All Students,119,343.0,6.0,5.0,58.0,50.0
767,02M255,M.S. 255 SALK SCHOOL OF SCIENCE,8,2015,All Students,48,322.0,8.0,6.0,23.0,11.0
773,02M260,M.S. 260 CLINTON SCHOOL WRITERS & ARTISTS,6,2015,All Students,85,331.0,3.0,20.0,31.0,31.0
776,02M260,M.S. 260 CLINTON SCHOOL WRITERS & ARTISTS,7,2015,All Students,93,332.0,5.0,20.0,43.0,25.0
779,02M260,M.S. 260 CLINTON SCHOOL WRITERS & ARTISTS,8,2015,All Students,81,335.0,3.0,22.0,33.0,23.0
798,02M276,BATTERY PARK CITY SCHOOL,6,2015,All Students,93,328.0,7.0,28.0,25.0,33.0
801,02M276,BATTERY PARK CITY SCHOOL,7,2015,All Students,57,329.0,3.0,12.0,28.0,14.0
804,02M276,BATTERY PARK CITY SCHOOL,8,2015,All Students,53,294.0,18.0,26.0,9.0,0.0
810,02M289,I.S. 289,6,2015,All Students,97,329.0,6.0,25.0,31.0,35.0
813,02M289,I.S. 289,7,2015,All Students,92,324.0,7.0,30.0,37.0,18.0
816,02M289,I.S. 289,8,2015,All Students,89,331.0,5.0,26.0,35.0,23.0
833,03M334,THE ANDERSON SCHOOL,6,2015,All Students,88,367.0,0.0,3.0,8.0,77.0
835,02M312,NEW YORK CITY LAB MIDDLE SCHOOL FOR COLLABORATIVE STUDIES,6,2015,All Students,184,358.0,1.0,10.0,23.0,150.0
838,02M312,NEW YORK CITY LAB MIDDLE SCHOOL FOR COLLABORATIVE STUDIES,7,2015,All Students,185,356.0,3.0,8.0,40.0,134.0
841,02M312,NEW YORK CITY LAB MIDDLE SCHOOL FOR COLLABORATIVE STUDIES,8,2015,All Students,48,328.0,2.0,13.0,22.0,11.0
857,02M347,THE 47 AMERICAN SIGN LANGUAGE & ENGLISH LOWER SCHOOL,7,2015,All Students,7,285.0,4.0,3.0,0.0,0.0
861,02M347,THE 47 AMERICAN SIGN LANGUAGE & ENGLISH LOWER SCHOOL,8,2015,All Students,6,287.0,3.0,2.0,0.0,1.0
876,02M407,INSTITUTE FOR COLLABORATIVE EDUCATION,6,2015,All Students,7,326.0,1.0,1.0,3.0,2.0
