,DBN,School Name,Grade,Year,Category,Number Tested,Mean Scale Score,# Level 1,# Level 2,# Level 3,# Level 4
2067,05M410,THE URBAN ASSEMBLY INSTITUTE FOR NEW TECHNOLOGIES,7,2015,All Students,41,271.0,29.0,10.0,2.0,0.0
2070,05M410,THE URBAN ASSEMBLY INSTITUTE FOR NEW TECHNOLOGIES,8,2015,All Students,18,278.0,10.0,8.0,0.0,0.0
2079,05M469,CHOIR ACADEMY OF HARLEM,8,2015,All Students,25,260.0,20.0,5.0,0.0,0.0
2085,05M499,FREDERICK DOUGLASS ACADEMY,6,2015,All Students,69,285.0,31.0,24.0,11.0,3.0
2088,05M499,FREDERICK DOUGLASS ACADEMY,7,2015,All Students,97,283.0,48.0,36.0,11.0,2.0
2091,05M499,FREDERICK DOUGLASS ACADEMY,8,2015,All Students,103,279.0,49.0,50.0,4.0,0.0
2097,05M514,NEW DESIGN MIDDLE SCHOOL,6,2015,All Students,61,265.0,46.0,13.0,2.0,0.0
2100,05M514,NEW DESIGN MIDDLE SCHOOL,7,2015,All Students,83,265.0,70.0,13.0,0.0,0.0
2102,05M514,NEW DESIGN MIDDLE SCHOOL,8,2015,All Students,100,268.0,65.0,33.0,2.0,0.0
2110,05M670,THURGOOD MARSHALL ACADEMY FOR LEARNING AND SOCIAL CHANGE,6,2015,All Students,48,284.0,24.0,17.0,5.0,2.0
2113,05M670,THURGOOD MARSHALL ACADEMY FOR LEARNING AND SOCIAL CHANGE,7,2015,All Students,56,287.0,29.0,24.0,3.0,0.0
2116,05M670,THURGOOD MARSHALL ACADEMY FOR LEARNING AND SOCIAL CHANGE,8,2015,All Students,56,297.0,20.0,15.0,13.0,8.0
2168,06M018,P.S. 018 PARK TERRACE,6,2015,All Students,38,282.0,20.0,12.0,1.0,5.0
2171,06M018,P.S. 018 PARK TERRACE,7,2015,All Students,48,294.0,20.0,19.0,8.0,1.0
2174,06M018,P.S. 018 PARK TERRACE,8,2015,All Students,48,305.0,12.0,25.0,8.0,3.0
2204,06M052,J.H.S. 052 INWOOD,6,2015,All Students,134,280.0,67.0,50.0,13.0,4.0
2207,06M052,J.H.S. 052 INWOOD,7,2015,All Students,160,288.0,76.0,73.0,10.0,1.0
2210,06M052,J.H.S. 052 INWOOD,8,2015,All Students,180,281.0,105.0,59.0,14.0,2.0
2264,06M143,J.H.S. 143 ELEANOR ROOSEVELT,6,2015,All Students,116,263.0,90.0,20.0,6.0,0.0
2267,06M143,J.H.S. 143 ELEANOR ROOSEVELT,7,2015,All Students,123,271.0,84.0,36.0,3.0,0.0
2270,06M143,J.H.S. 143 ELEANOR ROOSEVELT,8,2015,All Students,136,279.0,74.0,52.0,7.0,3.0
2326,06M187,P.S./I.S. 187 HUDSON CLIFFS,6,2015,All Students,88,308.0,15.0,39.0,23.0,11.0
2329,06M187,P.S./I.S. 187 HUDSON CLIFFS,7,2015,All Students,78,317.0,11.0,36.0,19.0,12.0
2332,06M187,P.S./I.S. 187 HUDSON CLIFFS,8,2015,All Students,76,313.0,14.0,27.0,24.0,11.0
2360,06M209,HAMILTON GRANGE MIDDLE SCHOOL,6,2015,All Students,64,284.0,30.0,25.0,8.0,1.0
2373,06M210,P.S./I.S. 210 - TWENTY-FIRST CENTURY ACADEMY FOR COMMUNITY LEADERSHIP,6,2015,All Students,48,290.0,22.0,13.0,10.0,3.0
2376,06M210,P.S./I.S. 210 - TWENTY-FIRST CENTURY ACADEMY FOR COMMUNITY LEADERSHIP,7,2015,All Students,49,295.0,20.0,22.0,6.0,1.0
2379,06M210,P.S./I.S. 210 - TWENTY-FIRST CENTURY ACADEMY FOR COMMUNITY LEADERSHIP,8,2015,All Students,48,298.0,15.0,23.0,9.0,1.0
2381,10X390,M.S. 390,7,2015,All Students,117,278.0,71.0,39.0,7.0,0.0
2386,06M218,I.S. 218 SALOME URENA,6,2015,All Students,74,276.0,39.0,29.0,6.0,0.0
2389,06M218,I.S. 218 SALOME URENA,7,2015,All Students,81,271.0,55.0,26.0,0.0,0.0
2392,06M218,I.S. 218 SALOME URENA,8,2015,All Students,81,280.0,42.0,31.0,6.0,2.0
2398,06M223,THE MOTT HALL SCHOOL,6,2015,All Students,89,311.0,9.0,46.0,23.0,11.0
2401,06M223,THE MOTT HALL SCHOOL,7,2015,All Students,90,319.0,13.0,26.0,38.0,13.0
2404,06M223,THE MOTT HALL SCHOOL,8,2015,All Students,90,336.0,8.0,12.0,34.0,36.0
2419,06M278,PAULA HEDBAVNY SCHOOL,6,2015,All Students,66,312.0,10.0,24.0,25.0,7.0
2422,06M278,PAULA HEDBAVNY SCHOOL,7,2015,All Students,58,318.0,10.0,20.0,17.0,11.0
2425,06M278,PAULA HEDBAVNY SCHOOL,8,2015,All Students,63,323.0,6.0,22.0,25.0,10.0
2431,06M293,CITY COLLEGE ACADEMY OF THE ARTS,6,2015,All Students,83,316.0,8.0,34.0,26.0,15.0
2434,06M293,CITY COLLEGE ACADEMY OF THE ARTS,7,2015,All Students,84,317.0,11.0,33.0,30.0,10.0
2437,06M293,CITY COLLEGE ACADEMY OF THE ARTS,8,2015,All Students,53,311.0,7.0,28.0,17.0,1.0
2452,06M311,AMISTAD DUAL LANGUAGE SCHOOL,6,2015,All Students,38,293.0,10.0,22.0,5.0,1.0
2455,06M311,AMISTAD DUAL LANGUAGE SCHOOL,7,2015,All Students,42,301.0,11.0,20.0,11.0,0.0
2458,06M311,AMISTAD DUAL LANGUAGE SCHOOL,8,2015,All Students,37,299.0,6.0,27.0,2.0,2.0
2475,06M319,M.S. 319 - MARIA TERESA,6,2015,All Students,198,280.0,92.0,78.0,23.0,5.0
2478,06M319,M.S. 319 - MARIA TERESA,7,2015,All Students,173,296.0,64.0,81.0,25.0,3.0
2481,06M319,M.S. 319 - MARIA TERESA,8,2015,All Students,190,295.0,54.0,113.0,20.0,3.0
2487,06M322,MIDDLE SCHOOL 322,6,2015,All Students,89,278.0,51.0,25.0,10.0,3.0
2490,06M322,MIDDLE SCHOOL 322,7,2015,All Students,104,276.0,66.0,26.0,12.0,0.0
2493,06M322,MIDDLE SCHOOL 322,8,2015,All Students,134,282.0,69.0,47.0,14.0,4.0
2499,06M324,M.S. 324 - PATRIA MIRABAL,6,2015,All Students,137,300.0,40.0,53.0,25.0,19.0
2502,06M324,M.S. 324 - PATRIA MIRABAL,7,2015,All Students,144,302.0,51.0,50.0,32.0,11.0
2505,06M324,M.S. 324 - PATRIA MIRABAL,8,2015,All Students,68,287.0,33.0,23.0,8.0,4.0
2523,06M326,M.S. 326 - WRITERS TODAY & LEADERS TOMORROW,6,2015,All Students,35,266.0,24.0,9.0,2.0,0.0
2526,06M326,M.S. 326 - WRITERS TODAY & LEADERS TOMORROW,7,2015,All Students,73,283.0,41.0,24.0,8.0,0.0
2529,06M326,M.S. 326 - WRITERS TODAY & LEADERS TOMORROW,8,2015,All Students,103,276.0,66.0,30.0,5.0,2.0
2535,06M328,M.S. 328 - MANHATTAN MIDDLE SCHOOL FOR SCIENTIFIC INQUIRY,6,2015,All Students,47,277.0,26.0,16.0,4.0,1.0
2538,06M328,M.S. 328 - MANHATTAN MIDDLE SCHOOL FOR SCIENTIFIC INQUIRY,7,2015,All Students,60,262.0,49.0,11.0,0.0,0.0
2541,06M328,M.S. 328 - MANHATTAN MIDDLE SCHOOL FOR SCIENTIFIC INQUIRY,8,2015,All Students,93,266.0,66.0,25.0,2.0,0.0
2547,06M346,COMMUNITY HEALTH ACADEMY OF THE HEIGHTS,6,2015,All Students,82,278.0,45.0,31.0,5.0,1.0
2550,06M346,COMMUNITY HEALTH ACADEMY OF THE HEIGHTS,7,2015,All Students,92,294.0,33.0,38.0,20.0,1.0
2553,06M346,COMMUNITY HEALTH ACADEMY OF THE HEIGHTS,8,2015,All Students,72,285.0,37.0,32.0,3.0,0.0
2559,06M348,WASHINGTON HEIGHTS EXPEDITIONARY LEARNING SCHOOL,6,2015,All Students,82,301.0,23.0,34.0,18.0,7.0
2562,06M348,WASHINGTON HEIGHTS EXPEDITIONARY LEARNING SCHOOL,7,2015,All Students,88,305.0,22.0,44.0,19.0,3.0
2565,06M348,WASHINGTON HEIGHTS EXPEDITIONARY LEARNING SCHOOL,8,2015,All Students,94,310.0,12.0,55.0,19.0,8.0
2571,06M349,HARBOR HEIGHTS,6,2015,All Students,29,258.0,24.0,4.0,1.0,0.0
2574,06M349,HARBOR HEIGHTS,7,2015,All Students,53,254.0,44.0,8.0,1.0,0.0
2577,06M349,HARBOR HEIGHTS,8,2015,All Students,71,282.0,37.0,27.0,7.0,0.0
2590,06M366,WASHINGTON HEIGHTS ACADEMY,6,2015,All Students,50,317.0,5.0,19.0,17.0,9.0
2609,06M528,I.S. 528 BEA FULLER RODGERS SCHOOL,6,2015,All Students,55,283.0,21.0,27.0,6.0,1.0
2612,06M528,I.S. 528 BEA FULLER RODGERS SCHOOL,7,2015,All Students,62,288.0,33.0,23.0,6.0,0.0
2615,06M528,I.S. 528 BEA FULLER RODGERS SCHOOL,8,2015,All Students,63,281.0,33.0,25.0,5.0,0.0
2642,07X005,PS 5 PORT MORRIS,6,2015,All Students,91,274.0,56.0,26.0,6.0,3.0
2644,07X005,PS 5 PORT MORRIS,7,2015,All Students,89,281.0,54.0,28.0,7.0,0.0
2645,07X005,PS 5 PORT MORRIS,8,2015,All Students,82,268.0,62.0,20.0,0.0,0.0
2684,07X029,P.S./M.S. 029 MELROSE SCHOOL,6,2015,All Students,92,275.0,53.0,29.0,8.0,2.0
2688,07X029,P.S./M.S. 029 MELROSE SCHOOL,7,2015,All Students,94,272.0,68.0,20.0,6.0,0.0
2691,07X029,P.S./M.S. 029 MELROSE SCHOOL,8,2015,All Students,52,259.0,39.0,13.0,0.0,0.0
2718,07X031,P.S./M.S. 031 THE WILLIAM LLOYD GARRISON,6,2015,All Students,74,259.0,60.0,10.0,4.0,0.0
2721,07X031,P.S./M.S. 031 THE WILLIAM LLOYD GARRISON,7,2015,All Students,81,271.0,54.0,22.0,4.0,1.0
2724,07X031,P.S./M.S. 031 THE WILLIAM LLOYD GARRISON,8,2015,All Students,95,263.0,68.0,20.0,5.0,2.0
2767,07X151,J.H.S. 151 LOU GEHRIG,6,2015,All Students,71,251.0,57.0,12.0,2.0,0.0
2770,07X151,J.H.S. 151 LOU GEHRIG,7,2015,All Students,97,272.0,71.0,23.0,3.0,0.0
2774,07X151,J.H.S. 151 LOU GEHRIG,8,2015,All Students,86,270.0,55.0,25.0,5.0,1.0
2816,07X162,J.H.S. 162 LOLA RODRIGUEZ DE TIO,6,2015,All Students,112,266.0,80.0,29.0,3.0,0.0
2819,07X162,J.H.S. 162 LOLA RODRIGUEZ DE TIO,7,2015,All Students,112,265.0,88.0,20.0,4.0,0.0
2822,07X162,J.H.S. 162 LOLA RODRIGUEZ DE TIO,8,2015,All Students,116,263.0,86.0,27.0,3.0,0.0
2844,07X203,M.S. 203,8,2015,All Students,72,270.0,44.0,25.0,3.0,0.0
2850,07X221,SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL,6,2015,All Students,92,306.0,13.0,48.0,25.0,6.0
2853,07X221,SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL,7,2015,All Students,100,291.0,47.0,39.0,14.0,0.0
2856,07X221,SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL,8,2015,All Students,86,288.0,36.0,43.0,7.0,0.0
2862,07X223,M.S. 223 THE LABORATORY SCHOOL OF FINANCE AND TECHNOLOGY,6,2015,All Students,93,300.0,26.0,38.0,25.0,4.0
2865,07X223,M.S. 223 THE LABORATORY SCHOOL OF FINANCE AND TECHNOLOGY,7,2015,All Students,96,304.0,22.0,46.0,24.0,4.0
2868,07X223,M.S. 223 THE LABORATORY SCHOOL OF FINANCE AND TECHNOLOGY,8,2015,All Students,85,323.0,9.0,26.0,36.0,14.0
2874,07X224,P.S. / I.S. 224,6,2015,All Students,116,280.0,60.0,43.0,13.0,0.0
2877,07X224,P.S. / I.S. 224,7,2015,All Students,112,282.0,66.0,39.0,6.0,1.0
2880,07X224,P.S. / I.S. 224,8,2015,All Students,107,280.0,58.0,42.0,7.0,0.0
2899,07X296,SOUTH BRONX ACADEMY FOR APPLIED MEDIA,6,2015,All Students,103,275.0,63.0,36.0,3.0,1.0
2902,07X296,SOUTH BRONX ACADEMY FOR APPLIED MEDIA,7,2015,All Students,104,283.0,62.0,38.0,4.0,0.0
2906,07X296,SOUTH BRONX ACADEMY FOR APPLIED MEDIA,8,2015,All Students,103,264.0,78.0,22.0,3.0,0.0
2912,07X298,ACADEMY OF PUBLIC RELATIONS,6,2015,All Students,99,264.0,76.0,17.0,5.0,1.0
2915,07X298,ACADEMY OF PUBLIC RELATIONS,7,2015,All Students,122,276.0,83.0,35.0,4.0,0.0
2918,07X298,ACADEMY OF PUBLIC RELATIONS,8,2015,All Students,99,261.0,87.0,11.0,1.0,0.0
2924,07X343,ACADEMY OF APPLIED MATHEMATICS AND TECHNOLOGY,6,2015,All Students,98,304.0,26.0,38.0,19.0,15.0
2927,07X343,ACADEMY OF APPLIED MATHEMATICS AND TECHNOLOGY,7,2015,All Students,97,309.0,24.0,35.0,27.0,11.0
2931,07X343,ACADEMY OF APPLIED MATHEMATICS AND TECHNOLOGY,8,2015,All Students,94,291.0,37.0,39.0,14.0,4.0
2962,07X500,HOSTOS-LINCOLN ACADEMY OF SCIENCE,6,2015,All Students,69,285.0,30.0,34.0,4.0,1.0
2965,07X500,HOSTOS-LINCOLN ACADEMY OF SCIENCE,7,2015,All Students,60,278.0,42.0,16.0,2.0,0.0
2968,07X500,HOSTOS-LINCOLN ACADEMY OF SCIENCE,8,2015,All Students,18,224.0,17.0,1.0,0.0,0.0
2974,07X551,THE URBAN ASSEMBLY BRONX ACADEMY OF LETTERS,6,2015,All Students,83,278.0,46.0,24.0,9.0,4.0
2977,07X551,THE URBAN ASSEMBLY BRONX ACADEMY OF LETTERS,7,2015,All Students,89,268.0,70.0,17.0,1.0,1.0
2980,07X551,THE URBAN ASSEMBLY BRONX ACADEMY OF LETTERS,8,2015,All Students,69,266.0,45.0,21.0,2.0,1.0
3057,08X071,P.S. 071 ROSE E. SCALA,6,2015,All Students,197,316.0,25.0,73.0,50.0,49.0
3060,08X071,P.S. 071 ROSE E. SCALA,7,2015,All Students,176,315.0,31.0,62.0,65.0,18.0
3063,08X071,P.S. 071 ROSE E. SCALA,8,2015,All Students,178,316.0,28.0,72.0,47.0,31.0
3118,08X101,M.S. X101 EDWARD R. BYRNE,6,2015,All Students,163,310.0,34.0,61.0,31.0,37.0
3122,08X101,M.S. X101 EDWARD R. BYRNE,7,2015,All Students,163,306.0,46.0,65.0,36.0,16.0
3125,08X101,M.S. X101 EDWARD R. BYRNE,8,2015,All Students,131,305.0,43.0,42.0,24.0,22.0
3156,08X123,J.H.S. 123 JAMES M. KIERAN,6,2015,All Students,121,273.0,69.0,38.0,13.0,1.0
3159,08X123,J.H.S. 123 JAMES M. KIERAN,7,2015,All Students,128,266.0,101.0,24.0,2.0,1.0
3162,08X123,J.H.S. 123 JAMES M. KIERAN,8,2015,All Students,141,264.0,106.0,34.0,1.0,0.0
3169,08X125,J.H.S. 125 HENRY HUDSON,6,2015,All Students,107,278.0,51.0,40.0,12.0,4.0
3172,08X125,J.H.S. 125 HENRY HUDSON,7,2015,All Students,154,280.0,101.0,41.0,11.0,1.0
3175,08X125,J.H.S. 125 HENRY HUDSON,8,2015,All Students,103,273.0,70.0,31.0,2.0,0.0
3193,08X131,J.H.S. 131 ALBERT EINSTEIN,6,2015,All Students,133,268.0,84.0,45.0,4.0,0.0
3196,08X131,J.H.S. 131 ALBERT EINSTEIN,7,2015,All Students,209,276.0,136.0,66.0,5.0,2.0
3199,08X131,J.H.S. 131 ALBERT EINSTEIN,8,2015,All Students,209,280.0,115.0,77.0,13.0,4.0
3266,08X269,BRONX STUDIO SCHOOL FOR WRITERS AND ARTISTS,6,2015,All Students,84,275.0,48.0,30.0,5.0,1.0
3269,08X269,BRONX STUDIO SCHOOL FOR WRITERS AND ARTISTS,7,2015,All Students,73,284.0,45.0,21.0,6.0,1.0
3272,08X269,BRONX STUDIO SCHOOL FOR WRITERS AND ARTISTS,8,2015,All Students,53,283.0,31.0,17.0,4.0,1.0
3278,08X301,M.S. 301 PAUL L. DUNBAR,6,2015,All Students,55,260.0,40.0,13.0,2.0,0.0
3281,08X301,M.S. 301 PAUL L. DUNBAR,7,2015,All Students,63,276.0,43.0,17.0,3.0,0.0
3284,08X301,M.S. 301 PAUL L. DUNBAR,8,2015,All Students,73,259.0,66.0,7.0,0.0,0.0
3290,08X302,M.S. 302 LUISA DESSUS CRUZ,6,2015,All Students,156,287.0,73.0,50.0,22.0,11.0
3293,08X302,M.S. 302 LUISA DESSUS CRUZ,7,2015,All Students,172,279.0,103.0,48.0,17.0,4.0
3296,08X302,M.S. 302 LUISA DESSUS CRUZ,8,2015,All Students,187,267.0,139.0,42.0,6.0,0.0
3338,08X337,THE SCHOOL FOR INQUIRY AND SOCIAL JUSTICE,6,2015,All Students,177,310.0,38.0,63.0,44.0,32.0
3342,08X337,THE SCHOOL FOR INQUIRY AND SOCIAL JUSTICE,7,2015,All Students,108,309.0,24.0,45.0,35.0,4.0
3345,08X337,THE SCHOOL FOR INQUIRY AND SOCIAL JUSTICE,8,2015,All Students,63,293.0,23.0,30.0,10.0,0.0
3351,08X366,URBAN ASSEMBLY ACADEMY OF CIVIC ENGAGEMENT,6,2015,All Students,44,276.0,25.0,18.0,0.0,1.0
3354,08X366,URBAN ASSEMBLY ACADEMY OF CIVIC ENGAGEMENT,7,2015,All Students,51,278.0,33.0,16.0,2.0,0.0
3357,08X366,URBAN ASSEMBLY ACADEMY OF CIVIC ENGAGEMENT,8,2015,All Students,68,269.0,50.0,17.0,1.0,0.0
3363,08X367,"ARCHIMEDES ACADEMY FOR MATH, SCIENCE AND TECHNOLOGY APPLICATIONS",6,2015,All Students,83,288.0,31.0,33.0,14.0,5.0
3366,08X367,"ARCHIMEDES ACADEMY FOR MATH, SCIENCE AND TECHNOLOGY APPLICATIONS",7,2015,All Students,97,291.0,45.0,26.0,19.0,7.0
3369,08X367,"ARCHIMEDES ACADEMY FOR MATH, SCIENCE AND TECHNOLOGY APPLICATIONS",8,2015,All Students,73,285.0,33.0,32.0,5.0,3.0
3375,08X371,URBAN INSTITUTE OF MATHEMATICS,6,2015,All Students,103,296.0,32.0,45.0,22.0,4.0
3378,08X371,URBAN INSTITUTE OF MATHEMATICS,7,2015,All Students,83,300.0,30.0,33.0,14.0,6.0
3382,08X371,URBAN INSTITUTE OF MATHEMATICS,8,2015,All Students,74,280.0,43.0,26.0,5.0,0.0
3388,08X375,THE BRONX MATHEMATICS PREPARATORY SCHOOL,6,2015,All Students,82,275.0,48.0,29.0,4.0,1.0
3391,08X375,THE BRONX MATHEMATICS PREPARATORY SCHOOL,7,2015,All Students,85,271.0,67.0,16.0,2.0,0.0
3394,08X375,THE BRONX MATHEMATICS PREPARATORY SCHOOL,8,2015,All Students,94,269.0,68.0,26.0,0.0,0.0
3400,08X376,ANTONIA PANTOJA PREPARATORY ACADEMY: A COLLEGE BOARD SCHOOL,6,2015,All Students,59,269.0,42.0,13.0,2.0,2.0
3403,08X376,ANTONIA PANTOJA PREPARATORY ACADEMY: A COLLEGE BOARD SCHOOL,7,2015,All Students,68,290.0,31.0,26.0,10.0,1.0
3406,08X376,ANTONIA PANTOJA PREPARATORY ACADEMY: A COLLEGE BOARD SCHOOL,8,2015,All Students,49,270.0,38.0,11.0,0.0,0.0
3412,08X424,THE HUNTS POINT SCHOOL,6,2015,All Students,103,265.0,74.0,25.0,4.0,0.0
3415,08X424,THE HUNTS POINT SCHOOL,7,2015,All Students,100,271.0,69.0,20.0,10.0,1.0
3418,08X424,THE HUNTS POINT SCHOOL,8,2015,All Students,130,269.0,88.0,38.0,2.0,2.0
3424,08X448,SOUNDVIEW ACADEMY FOR CULTURE AND SCHOLARSHIP,6,2015,All Students,119,291.0,43.0,44.0,20.0,12.0
3427,08X448,SOUNDVIEW ACADEMY FOR CULTURE AND SCHOLARSHIP,7,2015,All Students,114,288.0,54.0,42.0,17.0,1.0
3430,08X448,SOUNDVIEW ACADEMY FOR CULTURE AND SCHOLARSHIP,8,2015,All Students,82,259.0,70.0,12.0,0.0,0.0
3436,08X467,MOTT HALL COMMUNITY SCHOOL,6,2015,All Students,56,283.0,27.0,17.0,9.0,3.0
3439,08X467,MOTT HALL COMMUNITY SCHOOL,7,2015,All Students,60,288.0,30.0,22.0,8.0,0.0
3442,08X467,MOTT HALL COMMUNITY SCHOOL,8,2015,All Students,54,259.0,46.0,8.0,0.0,0.0
3448,08X562,BLUEPRINT MIDDLE SCHOOL,6,2015,All Students,96,282.0,45.0,41.0,8.0,2.0
3450,08X562,BLUEPRINT MIDDLE SCHOOL,7,2015,All Students,99,286.0,54.0,32.0,10.0,3.0
3451,08X562,BLUEPRINT MIDDLE SCHOOL,8,2015,All Students,86,271.0,59.0,22.0,4.0,1.0
3466,09X004,P.S./M.S. 004 CROTONA PARK WEST,6,2015,All Students,44,306.0,10.0,17.0,7.0,10.0
3469,09X004,P.S./M.S. 004 CROTONA PARK WEST,7,2015,All Students,50,285.0,25.0,20.0,5.0,0.0
3472,09X004,P.S./M.S. 004 CROTONA PARK WEST,8,2015,All Students,54,299.0,17.0,24.0,11.0,2.0
3490,09X022,J.H.S. 022 JORDAN L. MOTT,6,2015,All Students,130,265.0,93.0,32.0,3.0,2.0
3493,09X022,J.H.S. 022 JORDAN L. MOTT,7,2015,All Students,134,271.0,100.0,31.0,3.0,0.0
3496,09X022,J.H.S. 022 JORDAN L. MOTT,8,2015,All Students,180,256.0,152.0,23.0,5.0,0.0
3662,09X117,I.S. 117 JOSEPH H. WADE,6,2015,All Students,208,269.0,142.0,53.0,10.0,3.0
3665,09X117,I.S. 117 JOSEPH H. WADE,7,2015,All Students,186,272.0,133.0,46.0,6.0,1.0
3668,09X117,I.S. 117 JOSEPH H. WADE,8,2015,All Students,191,262.0,151.0,30.0,9.0,1.0
3688,09X128,MOTT HALL III,6,2015,All Students,114,318.0,16.0,36.0,30.0,32.0
3691,09X128,MOTT HALL III,7,2015,All Students,124,320.0,20.0,42.0,44.0,18.0
3694,09X128,MOTT HALL III,8,2015,All Students,102,311.0,17.0,52.0,20.0,13.0
3713,09X145,J.H.S. 145 ARTURO TOSCANINI,6,2015,All Students,110,270.0,65.0,37.0,6.0,2.0
3716,09X145,J.H.S. 145 ARTURO TOSCANINI,7,2015,All Students,104,265.0,77.0,24.0,3.0,0.0
3719,09X145,J.H.S. 145 ARTURO TOSCANINI,8,2015,All Students,142,259.0,112.0,30.0,0.0,0.0
3764,09X215,KAPPA,6,2015,All Students,59,299.0,22.0,20.0,9.0,8.0
3767,09X215,KAPPA,7,2015,All Students,96,310.0,25.0,33.0,27.0,11.0
3770,09X215,KAPPA,8,2015,All Students,18,265.0,13.0,5.0,0.0,0.0
3786,09X218,P.S./I.S. 218 RAFAEL HERNANDEZ DUAL LANGUAGE MAGNET SCHOOL,6,2015,All Students,86,307.0,16.0,40.0,19.0,11.0
3789,09X218,P.S./I.S. 218 RAFAEL HERNANDEZ DUAL LANGUAGE MAGNET SCHOOL,7,2015,All Students,89,304.0,22.0,44.0,18.0,5.0
3792,09X218,P.S./I.S. 218 RAFAEL HERNANDEZ DUAL LANGUAGE MAGNET SCHOOL,8,2015,All Students,50,283.0,22.0,24.0,4.0,0.0
3798,09X219,I.S. 219 NEW VENTURE SCHOOL,6,2015,All Students,91,260.0,70.0,19.0,2.0,0.0
3801,09X219,I.S. 219 NEW VENTURE SCHOOL,7,2015,All Students,94,272.0,68.0,25.0,1.0,0.0
3804,09X219,I.S. 219 NEW VENTURE SCHOOL,8,2015,All Students,108,254.0,88.0,20.0,0.0,0.0
3810,09X229,I.S. 229 ROLAND PATTERSON,6,2015,All Students,80,261.0,60.0,17.0,2.0,1.0
3813,09X229,I.S. 229 ROLAND PATTERSON,7,2015,All Students,84,271.0,71.0,11.0,2.0,0.0
3816,09X229,I.S. 229 ROLAND PATTERSON,8,2015,All Students,68,273.0,41.0,22.0,3.0,2.0
3833,09X231,EAGLE ACADEMY FOR YOUNG MEN,6,2015,All Students,54,283.0,28.0,22.0,3.0,1.0
3836,09X231,EAGLE ACADEMY FOR YOUNG MEN,7,2015,All Students,81,277.0,57.0,23.0,1.0,0.0
3838,09X231,EAGLE ACADEMY FOR YOUNG MEN,8,2015,All Students,40,270.0,30.0,10.0,0.0,0.0
3844,09X232,I.S. 232,6,2015,All Students,160,276.0,92.0,55.0,11.0,2.0
3847,09X232,I.S. 232,7,2015,All Students,160,280.0,97.0,47.0,16.0,0.0
3850,09X232,I.S. 232,8,2015,All Students,135,280.0,64.0,67.0,4.0,0.0
3865,09X241,"URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIENCE, THE",6,2015,All Students,90,296.0,26.0,47.0,13.0,4.0
3868,09X241,"URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIENCE, THE",7,2015,All Students,85,291.0,42.0,21.0,21.0,1.0
3871,09X241,"URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIENCE, THE",8,2015,All Students,37,289.0,14.0,23.0,0.0,0.0
3881,09X303,I.S. X303 LEADERSHIP & COMMUNITY SERVICE,6,2015,All Students,84,284.0,38.0,33.0,10.0,3.0
3884,09X303,I.S. X303 LEADERSHIP & COMMUNITY SERVICE,7,2015,All Students,96,292.0,37.0,51.0,7.0,1.0
3887,09X303,I.S. X303 LEADERSHIP & COMMUNITY SERVICE,8,2015,All Students,92,288.0,40.0,34.0,14.0,4.0
3895,09X313,I.S. 313 SCHOOL OF LEADERSHIP DEVELOPMENT,6,2015,All Students,109,268.0,75.0,30.0,3.0,1.0
3898,09X313,I.S. 313 SCHOOL OF LEADERSHIP DEVELOPMENT,7,2015,All Students,94,274.0,64.0,25.0,5.0,0.0
3901,09X313,I.S. 313 SCHOOL OF LEADERSHIP DEVELOPMENT,8,2015,All Students,109,280.0,59.0,42.0,8.0,0.0
3907,09X323,BRONX WRITING ACADEMY,6,2015,All Students,148,281.0,76.0,54.0,16.0,2.0
3910,09X323,BRONX WRITING ACADEMY,7,2015,All Students,146,281.0,93.0,43.0,9.0,1.0
3913,09X323,BRONX WRITING ACADEMY,8,2015,All Students,137,289.0,53.0,66.0,15.0,3.0
3919,09X324,BRONX EARLY COLLEGE ACADEMY FOR TEACHING & LEARNING,6,2015,All Students,78,281.0,42.0,24.0,9.0,3.0
3922,09X324,BRONX EARLY COLLEGE ACADEMY FOR TEACHING & LEARNING,7,2015,All Students,65,281.0,41.0,20.0,4.0,0.0
3925,09X324,BRONX EARLY COLLEGE ACADEMY FOR TEACHING & LEARNING,8,2015,All Students,66,279.0,38.0,27.0,0.0,1.0
3932,09X325,URBAN SCIENCE ACADEMY,6,2015,All Students,98,263.0,73.0,21.0,4.0,0.0
3935,09X325,URBAN SCIENCE ACADEMY,7,2015,All Students,101,266.0,78.0,21.0,2.0,0.0
3938,09X325,URBAN SCIENCE ACADEMY,8,2015,All Students,118,268.0,86.0,28.0,4.0,0.0
3945,09X327,COMPREHENSIVE MODEL SCHOOL PROJECT M.S. 327,6,2015,All Students,93,316.0,14.0,34.0,23.0,22.0
3948,09X327,COMPREHENSIVE MODEL SCHOOL PROJECT M.S. 327,7,2015,All Students,90,316.0,20.0,24.0,34.0,12.0
3951,09X327,COMPREHENSIVE MODEL SCHOOL PROJECT M.S. 327,8,2015,All Students,120,324.0,11.0,42.0,36.0,31.0
