,DBN,School Name,Number Tested,Mean Scale Score,# Level 1,# Level 2,# Level 3,# Level 4
1721,04M377,RENAISSANCE SCHOOL OF THE ARTS,47,273.0,33.0,12.0,2.0,0.0
1733,04M381,GLOBAL NEIGHBORHOOD SECONDARY SCHOOL,30,273.0,19.0,11.0,0.0,0.0
1745,04M406,GLOBAL TECHNOLOGY PREPARATORY,48,302.0,13.0,24.0,10.0,1.0
1769,04M610,YOUNG WOMEN'S LEADERSHIP SCHOOL,50,308.0,10.0,24.0,14.0,2.0
1781,04M825,ISAAC NEWTON MIDDLE SCHOOL FOR MATH & SCIENCE,92,276.0,58.0,27.0,7.0,0.0
1838,05M046,P.S. 046 ARTHUR TAPPAN,89,280.0,45.0,35.0,8.0,1.0
1871,05M123,P.S. 123 MAHALIA JACKSON,54,265.0,44.0,9.0,0.0,1.0
1904,05M129,P.S. 129 JOHN H. FINLEY,51,271.0,33.0,16.0,1.0,1.0
1955,05M161,P.S. 161 PEDRO ALBIZU CAMPOS,120,278.0,68.0,49.0,2.0,1.0
2015,05M286,I.S. M286 RENAISSANCE LEADERSHIP ACADEMY,58,264.0,47.0,9.0,2.0,0.0
2027,05M302,KAPPA IV,73,258.0,58.0,14.0,1.0,0.0
2058,05M367,ACADEMY FOR SOCIAL ACTION: A COLLEGE BOARD SCHOOL,13,261.0,10.0,3.0,0.0,0.0
2070,05M410,THE URBAN ASSEMBLY INSTITUTE FOR NEW TECHNOLOGIES,18,278.0,10.0,8.0,0.0,0.0
2079,05M469,CHOIR ACADEMY OF HARLEM,25,260.0,20.0,5.0,0.0,0.0
2091,05M499,FREDERICK DOUGLASS ACADEMY,103,279.0,49.0,50.0,4.0,0.0
2102,05M514,NEW DESIGN MIDDLE SCHOOL,100,268.0,65.0,33.0,2.0,0.0
2116,05M670,THURGOOD MARSHALL ACADEMY FOR LEARNING AND SOCIAL CHANGE,56,297.0,20.0,15.0,13.0,8.0
2174,06M018,P.S. 018 PARK TERRACE,48,305.0,12.0,25.0,8.0,3.0
2210,06M052,J.H.S. 052 INWOOD,180,281.0,105.0,59.0,14.0,2.0
2270,06M143,J.H.S. 143 ELEANOR ROOSEVELT,136,279.0,74.0,52.0,7.0,3.0
2332,06M187,P.S./I.S. 187 HUDSON CLIFFS,76,313.0,14.0,27.0,24.0,11.0
2379,06M210,P.S./I.S. 210 - TWENTY-FIRST CENTURY ACADEMY FOR COMMUNITY LEADERSHIP,48,298.0,15.0,23.0,9.0,1.0
2392,06M218,I.S. 218 SALOME URENA,81,280.0,42.0,31.0,6.0,2.0
2404,06M223,THE MOTT HALL SCHOOL,90,336.0,8.0,12.0,34.0,36.0
2425,06M278,PAULA HEDBAVNY SCHOOL,63,323.0,6.0,22.0,25.0,10.0
2437,06M293,CITY COLLEGE ACADEMY OF THE ARTS,53,311.0,7.0,28.0,17.0,1.0
2458,06M311,AMISTAD DUAL LANGUAGE SCHOOL,37,299.0,6.0,27.0,2.0,2.0
2481,06M319,M.S. 319 - MARIA TERESA,190,295.0,54.0,113.0,20.0,3.0
2493,06M322,MIDDLE SCHOOL 322,134,282.0,69.0,47.0,14.0,4.0
2505,06M324,M.S. 324 - PATRIA MIRABAL,68,287.0,33.0,23.0,8.0,4.0
2529,06M326,M.S. 326 - WRITERS TODAY & LEADERS TOMORROW,103,276.0,66.0,30.0,5.0,2.0
2541,06M328,M.S. 328 - MANHATTAN MIDDLE SCHOOL FOR SCIENTIFIC INQUIRY,93,266.0,66.0,25.0,2.0,0.0
2553,06M346,COMMUNITY HEALTH ACADEMY OF THE HEIGHTS,72,285.0,37.0,32.0,3.0,0.0
2565,06M348,WASHINGTON HEIGHTS EXPEDITIONARY LEARNING SCHOOL,94,310.0,12.0,55.0,19.0,8.0
2577,06M349,HARBOR HEIGHTS,71,282.0,37.0,27.0,7.0,0.0
2615,06M528,I.S. 528 BEA FULLER RODGERS SCHOOL,63,281.0,33.0,25.0,5.0,0.0
2645,07X005,PS 5 PORT MORRIS,82,268.0,62.0,20.0,0.0,0.0
2691,07X029,P.S./M.S. 029 MELROSE SCHOOL,52,259.0,39.0,13.0,0.0,0.0
2724,07X031,P.S./M.S. 031 THE WILLIAM LLOYD GARRISON,95,263.0,68.0,20.0,5.0,2.0
2774,07X151,J.H.S. 151 LOU GEHRIG,86,270.0,55.0,25.0,5.0,1.0
2822,07X162,J.H.S. 162 LOLA RODRIGUEZ DE TIO,116,263.0,86.0,27.0,3.0,0.0
2844,07X203,M.S. 203,72,270.0,44.0,25.0,3.0,0.0
2856,07X221,SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL,86,288.0,36.0,43.0,7.0,0.0
2868,07X223,M.S. 223 THE LABORATORY SCHOOL OF FINANCE AND TECHNOLOGY,85,323.0,9.0,26.0,36.0,14.0
2880,07X224,P.S. / I.S. 224,107,280.0,58.0,42.0,7.0,0.0
2906,07X296,SOUTH BRONX ACADEMY FOR APPLIED MEDIA,103,264.0,78.0,22.0,3.0,0.0
2918,07X298,ACADEMY OF PUBLIC RELATIONS,99,261.0,87.0,11.0,1.0,0.0
2931,07X343,ACADEMY OF APPLIED MATHEMATICS AND TECHNOLOGY,94,291.0,37.0,39.0,14.0,4.0
2968,07X500,HOSTOS-LINCOLN ACADEMY OF SCIENCE,18,224.0,17.0,1.0,0.0,0.0
2980,07X551,THE URBAN ASSEMBLY BRONX ACADEMY OF LETTERS,69,266.0,45.0,21.0,2.0,1.0
3063,08X071,P.S. 071 ROSE E. SCALA,178,316.0,28.0,72.0,47.0,31.0
3125,08X101,M.S. X101 EDWARD R. BYRNE,131,305.0,43.0,42.0,24.0,22.0
3162,08X123,J.H.S. 123 JAMES M. KIERAN,141,264.0,106.0,34.0,1.0,0.0
3175,08X125,J.H.S. 125 HENRY HUDSON,103,273.0,70.0,31.0,2.0,0.0
3199,08X131,J.H.S. 131 ALBERT EINSTEIN,209,280.0,115.0,77.0,13.0,4.0
3272,08X269,BRONX STUDIO SCHOOL FOR WRITERS AND ARTISTS,53,283.0,31.0,17.0,4.0,1.0
3284,08X301,M.S. 301 PAUL L. DUNBAR,73,259.0,66.0,7.0,0.0,0.0
3296,08X302,M.S. 302 LUISA DESSUS CRUZ,187,267.0,139.0,42.0,6.0,0.0
3345,08X337,THE SCHOOL FOR INQUIRY AND SOCIAL JUSTICE,63,293.0,23.0,30.0,10.0,0.0
3357,08X366,URBAN ASSEMBLY ACADEMY OF CIVIC ENGAGEMENT,68,269.0,50.0,17.0,1.0,0.0
3369,08X367,"ARCHIMEDES ACADEMY FOR MATH, SCIENCE AND TECHNOLOGY APPLICATIONS",73,285.0,33.0,32.0,5.0,3.0
3382,08X371,URBAN INSTITUTE OF MATHEMATICS,74,280.0,43.0,26.0,5.0,0.0
3394,08X375,THE BRONX MATHEMATICS PREPARATORY SCHOOL,94,269.0,68.0,26.0,0.0,0.0
3406,08X376,ANTONIA PANTOJA PREPARATORY ACADEMY: A COLLEGE BOARD SCHOOL,49,270.0,38.0,11.0,0.0,0.0
3418,08X424,THE HUNTS POINT SCHOOL,130,269.0,88.0,38.0,2.0,2.0
3430,08X448,SOUNDVIEW ACADEMY FOR CULTURE AND SCHOLARSHIP,82,259.0,70.0,12.0,0.0,0.0
3442,08X467,MOTT HALL COMMUNITY SCHOOL,54,259.0,46.0,8.0,0.0,0.0
3451,08X562,BLUEPRINT MIDDLE SCHOOL,86,271.0,59.0,22.0,4.0,1.0
3472,09X004,P.S./M.S. 004 CROTONA PARK WEST,54,299.0,17.0,24.0,11.0,2.0
3496,09X022,J.H.S. 022 JORDAN L. MOTT,180,256.0,152.0,23.0,5.0,0.0
3668,09X117,I.S. 117 JOSEPH H. WADE,191,262.0,151.0,30.0,9.0,1.0
3694,09X128,MOTT HALL III,102,311.0,17.0,52.0,20.0,13.0
3719,09X145,J.H.S. 145 ARTURO TOSCANINI,142,259.0,112.0,30.0,0.0,0.0
3770,09X215,KAPPA,18,265.0,13.0,5.0,0.0,0.0
3792,09X218,P.S./I.S. 218 RAFAEL HERNANDEZ DUAL LANGUAGE MAGNET SCHOOL,50,283.0,22.0,24.0,4.0,0.0
3804,09X219,I.S. 219 NEW VENTURE SCHOOL,108,254.0,88.0,20.0,0.0,0.0
3816,09X229,I.S. 229 ROLAND PATTERSON,68,273.0,41.0,22.0,3.0,2.0
3838,09X231,EAGLE ACADEMY FOR YOUNG MEN,40,270.0,30.0,10.0,0.0,0.0
3850,09X232,I.S. 232,135,280.0,64.0,67.0,4.0,0.0
3871,09X241,"URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIENCE, THE",37,289.0,14.0,23.0,0.0,0.0
3887,09X303,I.S. X303 LEADERSHIP & COMMUNITY SERVICE,92,288.0,40.0,34.0,14.0,4.0
3901,09X313,I.S. 313 SCHOOL OF LEADERSHIP DEVELOPMENT,109,280.0,59.0,42.0,8.0,0.0
3913,09X323,BRONX WRITING ACADEMY,137,289.0,53.0,66.0,15.0,3.0
3925,09X324,BRONX EARLY COLLEGE ACADEMY FOR TEACHING & LEARNING,66,279.0,38.0,27.0,0.0,1.0
3938,09X325,URBAN SCIENCE ACADEMY,118,268.0,86.0,28.0,4.0,0.0
3951,09X327,COMPREHENSIVE MODEL SCHOOL PROJECT M.S. 327,120,324.0,11.0,42.0,36.0,31.0
3964,09X328,NEW MILLENNIUM BUSINESS ACADEMY MIDDLE SCHOOL,45,271.0,26.0,18.0,1.0,0.0
3976,09X339,I.S. 339,190,275.0,117.0,66.0,6.0,1.0
3984,09X350,NEW DIRECTIONS SECONDARY SCHOOL,27,272.0,18.0,9.0,0.0,0.0
4000,09X413,BRONX HIGH SCHOOL FOR MEDICAL SCIENCE,51,290.0,25.0,16.0,6.0,4.0
4035,09X454,SCIENCE AND TECHNOLOGY ACADEMY: A MOTT HALL SCHOOL,145,305.0,37.0,67.0,30.0,11.0
4059,09X505,"BRONX SCHOOL FOR LAW, GOVERNMENT AND JUSTICE",85,321.0,9.0,30.0,25.0,21.0
4071,09X568,YOUNG WOMEN'S LEADERSHIP SCHOOL OF THE BRONX,72,312.0,9.0,40.0,18.0,5.0
4092,10X003,P.S. 3 RAUL JULIA MICRO SOCIETY,3,,,,,
4150,10X015,P.S. X015 INSTITUTE FOR ENVIRONMENTAL LEARNING,63,303.0,19.0,27.0,11.0,6.0
4171,10X020,"PS/MS 20 P.O.GEORGE J. WERDANN, III",63,301.0,20.0,26.0,12.0,5.0
4240,10X037,P.S. X037 - MULTIPLE INTELLIGENCE SCHOOL,78,288.0,37.0,30.0,9.0,2.0
4252,10X045,THOMAS C. GIORDANO MIDDLE SCHOOL 45,169,267.0,119.0,48.0,2.0,0.0
4324,10X080,J.H.S. 080 THE MOSHOLU PARKWAY,228,265.0,166.0,56.0,6.0,0.0
4408,10X095,P.S. 095 SHEILA MENCHER,94,281.0,51.0,39.0,4.0,0.0
4420,10X118,J.H.S. 118 WILLIAM W. NILES,384,297.0,144.0,128.0,65.0,47.0
4433,10X141,RIVERDALE / KINGSBRIDGE ACADEMY (MIDDLE SCHOOL / HIGH SCHOOL 141),139,299.0,41.0,62.0,24.0,12.0
4471,10X206,I.S. 206 ANN MERSEREAU,83,277.0,44.0,36.0,3.0,0.0
4483,10X225,THEATRE ARTS PRODUCTION COMPANY SCHOOL,67,300.0,15.0,40.0,10.0,2.0
4505,10X228,JONAS BRONCK ACADEMY,83,316.0,8.0,41.0,25.0,9.0
4517,10X243,WEST BRONX ACADEMY FOR THE FUTURE,56,286.0,24.0,30.0,2.0,0.0
4529,10X244,THE NEW SCHOOL FOR LEADERSHIP AND JOURNALISM,227,294.0,73.0,134.0,19.0,1.0
4551,10X254,I.S. 254,158,286.0,76.0,64.0,16.0,2.0
4572,10X279,"P.S. 279 CAPTAIN MANUEL RIVERA, JR.",135,292.0,50.0,66.0,15.0,4.0
4593,10X280,P.S./M.S. 280 MOSHOLU PARKWAY,81,305.0,21.0,33.0,22.0,5.0
4623,14K582,M.S. 582,54,274.0,40.0,14.0,0.0,0.0
4641,10X308,BRONX DANCE ACADEMY SCHOOL,65,317.0,10.0,23.0,27.0,5.0
4675,10X315,P.S. 315 LAB SCHOOL,35,309.0,11.0,6.0,14.0,4.0
4687,10X331,THE BRONX SCHOOL OF YOUNG LEADERS,120,282.0,59.0,52.0,7.0,2.0
4713,10X342,INTERNATIONAL SCHOOL FOR LIBERAL ARTS,51,284.0,28.0,20.0,2.0,1.0
4751,10X363,ACADEMY FOR PERSONAL LEADERSHIP AND EXCELLENCE,105,278.0,60.0,42.0,3.0,0.0
4764,10X368,IN-TECH ACADEMY (M.S. / HIGH SCHOOL 368),119,273.0,76.0,41.0,2.0,0.0
4797,10X390,M.S. 390,101,274.0,60.0,33.0,8.0,0.0
4809,10X391,THE ANGELO PATRI MIDDLE SCHOOL,175,261.0,143.0,28.0,4.0,0.0
4833,10X447,CRESTON ACADEMY,146,296.0,58.0,51.0,24.0,13.0
4845,10X459,EAST FORDHAM ACADEMY FOR THE ARTS,109,260.0,90.0,19.0,0.0,0.0
4878,11X019,P.S. 019 JUDITH K. WEISS,53,315.0,12.0,16.0,11.0,14.0
4961,11X083,P.S. 083 DONALD HERTZ,200,308.0,46.0,91.0,37.0,26.0
4994,11X089,P.S. 089 BRONX,120,274.0,84.0,32.0,4.0,0.0
5115,11X127,J.H.S. 127 THE CASTLE HILL,195,282.0,109.0,72.0,10.0,4.0
5125,11X142,MS 142 JOHN PHILIP SOUSA,108,268.0,78.0,27.0,3.0,0.0
5137,11X144,J.H.S. 144 MICHELANGELO,165,270.0,122.0,41.0,2.0,0.0
5193,11X175,P.S. 175 CITY ISLAND,45,311.0,8.0,23.0,10.0,4.0
5217,11X180,M.S. 180 DR. DANIEL HALE WILLIAMS,284,302.0,81.0,124.0,64.0,15.0
5230,11X181,I.S. 181 PABLO CASALS,297,301.0,114.0,87.0,56.0,40.0
5263,11X194,PS/MS 194,153,307.0,40.0,60.0,32.0,21.0
5275,11X272,GLOBE SCHOOL FOR ENVIRONMENTAL RESEARCH,91,273.0,61.0,28.0,0.0,2.0
5287,11X287,THE FORWARD SCHOOL,73,264.0,56.0,16.0,0.0,1.0
5300,11X289,THE YOUNG SCHOLARS ACADEMY OF THE BRONX,111,269.0,77.0,29.0,4.0,1.0
5312,11X326,BRONX GREEN MIDDLE SCHOOL,95,267.0,72.0,23.0,0.0,0.0
5330,11X370,SCHOOL OF DIPLOMACY,81,281.0,40.0,36.0,5.0,0.0
5342,11X462,CORNERSTONE ACADEMY FOR SOCIAL ACTION MIDDLE SCHOOL (CASA),81,283.0,51.0,18.0,11.0,1.0
5354,11X468,PELHAM ACADEMY OF ACADEMICS AND COMMUNITY ENGAGEMENT,92,287.0,41.0,39.0,10.0,2.0
5374,11X498,PS/MS 11X498 - VAN NEST ACADEMY,79,295.0,30.0,35.0,10.0,4.0
5385,11X529,ONE WORLD MIDDLE SCHOOL AT EDENWALD,121,286.0,54.0,54.0,12.0,1.0
5395,11X532,BAYCHESTER MIDDLE SCHOOL,109,283.0,51.0,46.0,10.0,2.0
5404,11X556,BRONX PARK MIDDLE SCHOOL,130,280.0,75.0,47.0,7.0,1.0
5413,11X566,PELHAM GARDENS MIDDLE SCHOOL,148,287.0,60.0,70.0,15.0,3.0
5532,12X098,J.H.S. 098 HERMAN RIDDER,101,283.0,43.0,48.0,8.0,2.0
5544,12X129,M.S. 129 ACADEMY FOR INDEPENDENT LEARNING AND LEADERSHIP,145,279.0,82.0,54.0,8.0,1.0
5580,12X190,E.S.M.T- I.S. 190,80,288.0,40.0,28.0,11.0,1.0
5624,12X211,P.S. 211,76,303.0,22.0,27.0,18.0,9.0
5639,12X212,P.S. 212,62,300.0,14.0,37.0,10.0,1.0
5660,12X214,P.S. 214,118,271.0,78.0,36.0,4.0,0.0
5672,12X217,SCHOOL OF PERFORMING ARTS,111,268.0,74.0,31.0,5.0,1.0
5684,12X242,MOTT HALL V,99,284.0,50.0,34.0,9.0,6.0
5696,12X267,BRONX LATIN,45,277.0,27.0,17.0,1.0,0.0
5708,12X271,EAST BRONX ACADEMY FOR THE FUTURE,79,288.0,33.0,41.0,2.0,3.0
5720,12X273,FREDERICK DOUGLASS ACADEMY V. MIDDLE SCHOOL,76,277.0,46.0,27.0,3.0,0.0
5733,12X286,FANNIE LOU HAMER MIDDLE SCHOOL,79,286.0,38.0,31.0,7.0,3.0
5759,12X316,KAPPA III,102,296.0,40.0,44.0,10.0,8.0
5771,12X318,"I.S. X318 MATH, SCIENCE & TECHNOLOGY THROUGH ARTS",102,288.0,42.0,45.0,9.0,6.0
5783,12X341,ACCION ACADEMY,38,281.0,21.0,13.0,4.0,0.0
5795,12X372,URBAN ASSEMBLY SCHOOL FOR WILDLIFE CONSERVATION,63,297.0,20.0,29.0,11.0,3.0
5807,12X383,EMOLIOR ACADEMY,75,295.0,34.0,20.0,14.0,7.0
5819,12X384,ENTRADA ACADEMY,91,271.0,61.0,24.0,5.0,1.0
5891,13K008,P.S. 008 ROBERT FULTON,30,306.0,8.0,12.0,7.0,3.0
6012,13K113,M.S. 113 RONALD EDMONDS LEARNING CENTER,135,263.0,108.0,27.0,0.0,0.0
6050,13K265,DR. SUSAN S. MCKINNEY SECONDARY SCHOOL OF THE ARTS,31,278.0,19.0,10.0,2.0,0.0
6063,13K266,M.S. K266 - PARK PLACE COMMUNITY MIDDLE SCHOOL,42,284.0,22.0,18.0,1.0,1.0
6097,13K282,P.S. 282 PARK SLOPE,65,277.0,41.0,22.0,2.0,0.0
6122,13K301,SATELLITE EAST MIDDLE SCHOOL,45,250.0,41.0,3.0,1.0,0.0
6159,13K313,SATELLITE WEST MIDDLE SCHOOL,37,279.0,21.0,12.0,4.0,0.0
6168,13K351,THE URBAN ASSEMBLY UNISON SCHOOL,76,272.0,54.0,20.0,1.0,1.0
6183,13K492,ACADEMY OF ARTS AND LETTERS,8,295.0,4.0,1.0,3.0,0.0
6195,13K527,URBAN ASSEMBLY INSTITUTE OF MATH AND SCIENCE FOR YOUNG WOMEN,47,298.0,12.0,30.0,3.0,2.0
6208,13K596,MS 596 PEACE ACADEMY,17,280.0,8.0,7.0,2.0,0.0
6220,13K691,FORT GREENE PREPARATORY ACADEMY,74,279.0,45.0,22.0,6.0,1.0
6315,14K050,J.H.S. 050 JOHN D. WELLS,87,277.0,49.0,35.0,3.0,0.0
6339,14K071,JUAN MOREL CAMPOS SECONDARY SCHOOL,75,263.0,59.0,15.0,1.0,0.0
6387,14K126,JOHN ERICSSON MIDDLE SCHOOL 126,75,283.0,41.0,25.0,8.0,1.0
6431,14K157,P.S./I.S. 157 THE BENJAMIN FRANKLIN HEALTH & SCIENCE ACADEMY,55,286.0,23.0,25.0,6.0,1.0
6491,14K318,I.S. 318 EUGENIO MARIA DE HOSTOS,328,289.0,116.0,184.0,27.0,1.0
6503,14K330,THE SCHOOL FOR THE URBAN ENVIRONMENT,14,275.0,10.0,3.0,1.0,0.0
6533,14K577,CONSELYEA PREPARATORY SCHOOL,85,278.0,49.0,34.0,2.0,0.0
6556,14K586,LYONS COMMUNITY SCHOOL,64,266.0,48.0,16.0,0.0,0.0
6569,14K614,YOUNG WOMEN'S LEADERSHIP SCHOOL OF BROOKLYN,40,296.0,12.0,22.0,4.0,2.0
6677,15K051,M.S. 51 WILLIAM ALEXANDER,179,316.0,23.0,68.0,72.0,16.0
6701,15K088,J.H.S. 088 PETER ROUGET,245,298.0,69.0,139.0,31.0,6.0
6774,15K136,I.S. 136 CHARLES O. DEWEY,145,279.0,90.0,45.0,7.0,3.0
6880,15K429,BROOKLYN SCHOOL FOR GLOBAL STUDIES,28,277.0,19.0,7.0,2.0,0.0
6892,15K442,M.S. 442 CARROLL GARDENS SCHOOL FOR INNOVATION,36,268.0,27.0,9.0,0.0,0.0
6905,15K443,NEW VOICES SCHOOL OF ACADEMIC & CREATIVE ARTS,86,300.0,13.0,59.0,13.0,1.0
6917,15K447,THE MATH & SCIENCE EXPLORATORY SCHOOL,67,323.0,4.0,25.0,28.0,10.0
6929,15K448,BROOKLYN SECONDARY SCHOOL FOR COLLABORATIVE STUDIES,19,273.0,11.0,8.0,0.0,0.0
6941,15K464,PARK SLOPE COLLEGIATE,22,283.0,10.0,10.0,1.0,1.0
6953,15K497,SCHOOL FOR INTERNATIONAL STUDIES,42,274.0,23.0,17.0,2.0,0.0
6977,15K821,SUNSET PARK PREP,92,278.0,43.0,47.0,2.0,0.0
7047,16K035,M.S. 035 STEPHEN DECATUR,37,283.0,20.0,14.0,3.0,0.0
7071,16K057,J.H.S. 057 WHITELAW REID,57,281.0,34.0,16.0,6.0,1.0
7116,16K262,P.S. 262 EL HAJJ MALIK EL SHABAZZ ELEMENTARY SCHOOL,40,295.0,17.0,14.0,6.0,3.0
7128,16K267,"M.S. 267 MATH, SCIENCE & TECHNOLOGY",74,290.0,36.0,19.0,15.0,4.0
7149,16K308,P.S. 308 CLARA CARDWELL,58,292.0,23.0,26.0,5.0,4.0
7185,16K385,"SCHOOL OF BUSINESS, FINANCE AND ENTREPRENEURSHIP",26,278.0,14.0,11.0,0.0,1.0
7198,16K534,UPPER SCHOOL @ P.S. 25,33,288.0,19.0,11.0,3.0,0.0
7210,16K584,M.S. 584,26,274.0,15.0,9.0,1.0,1.0
7255,16K681,MADIBA PREP MIDDLE SCHOOL,71,265.0,51.0,19.0,1.0,0.0
7267,17K002,PARKSIDE PREPARATORY ACADEMY,134,298.0,49.0,58.0,19.0,8.0
7302,17K061,M.S. 061 DR. GLADSTONE H. ATWELL,259,291.0,114.0,111.0,28.0,6.0
7347,17K138,P.S. 138 BROOKLYN,79,304.0,26.0,28.0,13.0,12.0
